"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]"
"Pudasjärvi Sarakylä","2021","7","27","03:00","-1"
"Pudasjärvi Sarakylä","2021","7","28","03:00","-1"
"Pudasjärvi Sarakylä","2021","7","29","03:00","-1"
"Pudasjärvi Sarakylä","2021","7","30","03:00","-1"
"Pudasjärvi Sarakylä","2021","7","31","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","1","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","2","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","3","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","4","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","5","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","6","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","7","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","8","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","9","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","10","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","11","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","12","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","13","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","14","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","15","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","16","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","17","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","18","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","19","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","20","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","21","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","22","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","23","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","24","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","25","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","26","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","27","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","28","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","29","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","30","03:00","-1"
"Pudasjärvi Sarakylä","2021","8","31","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","1","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","2","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","3","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","4","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","5","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","6","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","7","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","8","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","9","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","10","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","11","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","12","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","13","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","14","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","15","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","16","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","17","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","18","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","19","03:00","-1"
"Pudasjärvi Sarakylä","2021","9","20","03:00","-1"
