"Observation station","Year","Month","Day","Time [Local time]","Cloud cover [1/8]"
"Sotkamo Kuolaniemi","2015","3","5","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","3","6","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","3","7","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","3","8","00:00","Partly cloudy (5/8)"
"Sotkamo Kuolaniemi","2015","3","9","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","3","10","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","3","11","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","3","12","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","3","13","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","3","14","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","3","15","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","3","16","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","3","17","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","3","18","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","3","19","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","3","20","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","3","21","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","3","22","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","3","23","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","3","24","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","3","25","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","3","26","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","3","27","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","3","28","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","3","29","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","3","30","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","3","31","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","4","1","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","4","2","00:00","Partly cloudy (4/8)"
"Sotkamo Kuolaniemi","2015","4","3","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","4","4","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","4","5","00:00","Partly cloudy (5/8)"
"Sotkamo Kuolaniemi","2015","4","6","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","4","7","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","4","8","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","4","9","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","4","10","00:00","Mostly cloudy (6/8)"
"Sotkamo Kuolaniemi","2015","4","11","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","4","12","00:00","Clear (1/8)"
"Sotkamo Kuolaniemi","2015","4","13","00:00","Partly cloudy (5/8)"
"Sotkamo Kuolaniemi","2015","4","14","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","4","15","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","4","16","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","4","17","00:00","Mostly clear (2/8)"
"Sotkamo Kuolaniemi","2015","4","18","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","4","19","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","4","20","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","4","21","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","4","22","00:00","Mostly clear (3/8)"
"Sotkamo Kuolaniemi","2015","4","23","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","4","24","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","4","25","00:00","Mostly clear (3/8)"
"Sotkamo Kuolaniemi","2015","4","26","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","4","27","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","4","28","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","4","29","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","4","30","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","5","1","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","5","2","00:00","Mostly clear (3/8)"
"Sotkamo Kuolaniemi","2015","5","3","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","5","4","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","5","5","00:00","Clear (0/8)"
"Sotkamo Kuolaniemi","2015","5","6","00:00","Clear (1/8)"
"Sotkamo Kuolaniemi","2015","5","7","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","5","8","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","5","9","00:00","Mostly cloudy (7/8)"
"Sotkamo Kuolaniemi","2015","5","10","00:00","Cloudy (8/8)"
"Sotkamo Kuolaniemi","2015","5","11","00:00","Mostly cloudy (7/8)"
