Cloud_value,Snow depth [cm],Solar Radiation (kW-hr/m^2/day),Average temperature [°C],Date,Ski Center Name,Latitude
8.0,33.0,0.0,-14.2,2009-12-22,Kommattivaara,66.5
8.0,33.0,0.0,-12.0,2009-12-23,Kommattivaara,66.5
8.0,33.0,0.0,-17.2,2009-12-24,Kommattivaara,66.5
7.0,32.0,0.0,-18.5,2009-12-25,Kommattivaara,66.5
9.0,33.0,0.0,-23.4,2009-12-26,Kommattivaara,66.5
0.0,32.0,0.0,-19.5,2009-12-27,Kommattivaara,66.5
8.0,33.0,0.0,-17.5,2009-12-28,Kommattivaara,66.5
8.0,36.0,0.0,-10.9,2009-12-29,Kommattivaara,66.5
7.0,36.0,0.0,-10.1,2009-12-30,Kommattivaara,66.5
7.0,36.0,0.0,-13.0,2009-12-31,Kommattivaara,66.5
7.0,35.0,0.0,-16.9,2010-01-01,Kommattivaara,66.5
8.0,36.0,0.0,-27.8,2010-01-02,Kommattivaara,66.5
8.0,40.0,0.0,-19.4,2010-01-03,Kommattivaara,66.5
8.0,45.0,0.01,-21.4,2010-01-04,Kommattivaara,66.5
7.0,43.0,0.01,-27.6,2010-01-05,Kommattivaara,66.5
7.0,42.0,0.01,-30.2,2010-01-06,Kommattivaara,66.5
8.0,41.0,0.01,-27.2,2010-01-07,Kommattivaara,66.5
8.0,40.0,0.01,-25.4,2010-01-08,Kommattivaara,66.5
1.0,39.0,0.01,-22.7,2010-01-09,Kommattivaara,66.5
8.0,39.0,0.01,-8.2,2010-01-10,Kommattivaara,66.5
7.0,40.0,0.01,-3.3,2010-01-11,Kommattivaara,66.5
8.0,42.0,0.02,-9.4,2010-01-12,Kommattivaara,66.5
7.0,42.0,0.02,-8.7,2010-01-13,Kommattivaara,66.5
8.0,41.0,0.02,-7.7,2010-01-14,Kommattivaara,66.5
9.0,42.0,0.03,-13.9,2010-01-15,Kommattivaara,66.5
7.0,43.0,0.04,-8.0,2010-01-16,Kommattivaara,66.5
8.0,43.0,0.04,-6.8,2010-01-17,Kommattivaara,66.5
8.0,42.0,0.05,-7.0,2010-01-18,Kommattivaara,66.5
8.0,42.0,0.05,-10.9,2010-01-19,Kommattivaara,66.5
8.0,42.0,0.06,-8.0,2010-01-20,Kommattivaara,66.5
