"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]"
"Sotkamo Kuolaniemi","2009","12","28","02:00","19"
"Sotkamo Kuolaniemi","2009","12","29","02:00","20"
"Sotkamo Kuolaniemi","2009","12","30","02:00","20"
"Sotkamo Kuolaniemi","2009","12","31","02:00","22"
"Sotkamo Kuolaniemi","2010","1","1","02:00","23"
"Sotkamo Kuolaniemi","2010","1","2","02:00","22"
"Sotkamo Kuolaniemi","2010","1","3","02:00","22"
"Sotkamo Kuolaniemi","2010","1","4","02:00","25"
"Sotkamo Kuolaniemi","2010","1","5","02:00","26"
"Sotkamo Kuolaniemi","2010","1","6","02:00","32"
"Sotkamo Kuolaniemi","2010","1","7","02:00","30"
"Sotkamo Kuolaniemi","2010","1","8","02:00","29"
"Sotkamo Kuolaniemi","2010","1","9","02:00","28"
"Sotkamo Kuolaniemi","2010","1","10","02:00","28"
"Sotkamo Kuolaniemi","2010","1","11","02:00","27"
"Sotkamo Kuolaniemi","2010","1","12","02:00","26"
"Sotkamo Kuolaniemi","2010","1","13","02:00","26"
"Sotkamo Kuolaniemi","2010","1","14","02:00","26"
"Sotkamo Kuolaniemi","2010","1","15","02:00","25"
"Sotkamo Kuolaniemi","2010","1","16","02:00","26"
"Sotkamo Kuolaniemi","2010","1","17","02:00","26"
"Sotkamo Kuolaniemi","2010","1","18","02:00","26"
"Sotkamo Kuolaniemi","2010","1","19","02:00","26"
"Sotkamo Kuolaniemi","2010","1","20","02:00","26"
"Sotkamo Kuolaniemi","2010","1","21","02:00","25"
"Sotkamo Kuolaniemi","2010","1","22","02:00","25"
"Sotkamo Kuolaniemi","2010","1","23","02:00","25"
"Sotkamo Kuolaniemi","2010","1","24","02:00","25"
"Sotkamo Kuolaniemi","2010","1","25","02:00","26"
"Sotkamo Kuolaniemi","2010","1","26","02:00","26"
"Sotkamo Kuolaniemi","2010","1","27","02:00","27"
"Sotkamo Kuolaniemi","2010","1","28","02:00","26"
"Sotkamo Kuolaniemi","2010","1","29","02:00","27"
"Sotkamo Kuolaniemi","2010","1","30","02:00","29"
"Sotkamo Kuolaniemi","2010","1","31","02:00","30"
"Sotkamo Kuolaniemi","2010","2","1","02:00","33"
"Sotkamo Kuolaniemi","2010","2","2","02:00","39"
"Sotkamo Kuolaniemi","2010","2","3","02:00","39"
"Sotkamo Kuolaniemi","2010","2","4","02:00","41"
"Sotkamo Kuolaniemi","2010","2","5","02:00","43"
"Sotkamo Kuolaniemi","2010","2","6","02:00","49"
"Sotkamo Kuolaniemi","2010","2","7","02:00","52"
"Sotkamo Kuolaniemi","2010","2","8","02:00","51"
"Sotkamo Kuolaniemi","2010","2","9","02:00","53"
"Sotkamo Kuolaniemi","2010","2","10","02:00","53"
"Sotkamo Kuolaniemi","2010","2","11","02:00","52"
"Sotkamo Kuolaniemi","2010","2","12","02:00","52"
"Sotkamo Kuolaniemi","2010","2","13","02:00","53"
"Sotkamo Kuolaniemi","2010","2","14","02:00","52"
"Sotkamo Kuolaniemi","2010","2","15","02:00","52"
"Sotkamo Kuolaniemi","2010","2","16","02:00","52"
"Sotkamo Kuolaniemi","2010","2","17","02:00","50"
"Sotkamo Kuolaniemi","2010","2","18","02:00","51"
"Sotkamo Kuolaniemi","2010","2","19","02:00","50"
"Sotkamo Kuolaniemi","2010","2","20","02:00","49"
"Sotkamo Kuolaniemi","2010","2","21","02:00","50"
"Sotkamo Kuolaniemi","2010","2","22","02:00","51"
"Sotkamo Kuolaniemi","2010","2","23","02:00","50"
"Sotkamo Kuolaniemi","2010","2","24","02:00","60"
"Sotkamo Kuolaniemi","2010","2","25","02:00","61"
"Sotkamo Kuolaniemi","2010","2","26","02:00","60"
"Sotkamo Kuolaniemi","2010","2","27","02:00","62"
"Sotkamo Kuolaniemi","2010","2","28","02:00","60"
"Sotkamo Kuolaniemi","2010","3","1","02:00","61"
"Sotkamo Kuolaniemi","2010","3","2","02:00","63"
"Sotkamo Kuolaniemi","2010","3","3","02:00","68"
"Sotkamo Kuolaniemi","2010","3","4","02:00","73"
"Sotkamo Kuolaniemi","2010","3","5","02:00","71"
"Sotkamo Kuolaniemi","2010","3","6","02:00","72"
"Sotkamo Kuolaniemi","2010","3","7","02:00","70"
"Sotkamo Kuolaniemi","2010","3","8","02:00","70"
"Sotkamo Kuolaniemi","2010","3","9","02:00","71"
"Sotkamo Kuolaniemi","2010","3","10","02:00","71"
"Sotkamo Kuolaniemi","2010","3","11","02:00","74"
"Sotkamo Kuolaniemi","2010","3","12","02:00","76"
"Sotkamo Kuolaniemi","2010","3","13","02:00","74"
"Sotkamo Kuolaniemi","2010","3","14","02:00","75"
"Sotkamo Kuolaniemi","2010","3","15","02:00","76"
"Sotkamo Kuolaniemi","2010","3","16","02:00","75"
"Sotkamo Kuolaniemi","2010","3","17","02:00","74"
"Sotkamo Kuolaniemi","2010","3","18","02:00","73"
"Sotkamo Kuolaniemi","2010","3","19","02:00","75"
"Sotkamo Kuolaniemi","2010","3","20","02:00","73"
"Sotkamo Kuolaniemi","2010","3","21","02:00","75"
"Sotkamo Kuolaniemi","2010","3","22","02:00","74"
"Sotkamo Kuolaniemi","2010","3","23","02:00","73"
"Sotkamo Kuolaniemi","2010","3","24","02:00","73"
"Sotkamo Kuolaniemi","2010","3","25","02:00","72"
"Sotkamo Kuolaniemi","2010","3","26","02:00","74"
"Sotkamo Kuolaniemi","2010","3","27","02:00","80"
"Sotkamo Kuolaniemi","2010","3","28","02:00","81"
"Sotkamo Kuolaniemi","2010","3","29","03:00","82"
"Sotkamo Kuolaniemi","2010","3","30","03:00","77"
"Sotkamo Kuolaniemi","2010","3","31","03:00","72"
"Sotkamo Kuolaniemi","2010","4","1","03:00","69"
"Sotkamo Kuolaniemi","2010","4","2","03:00","62"
"Sotkamo Kuolaniemi","2010","4","3","03:00","58"
"Sotkamo Kuolaniemi","2010","4","4","03:00","55"
"Sotkamo Kuolaniemi","2010","4","5","03:00","51"
"Sotkamo Kuolaniemi","2010","4","6","03:00","48"
"Sotkamo Kuolaniemi","2010","4","7","03:00","45"
"Sotkamo Kuolaniemi","2010","4","8","03:00","43"
"Sotkamo Kuolaniemi","2010","4","9","03:00","42"
"Sotkamo Kuolaniemi","2010","4","10","03:00","38"
"Sotkamo Kuolaniemi","2010","4","11","03:00","33"
"Sotkamo Kuolaniemi","2010","4","12","03:00","31"
"Sotkamo Kuolaniemi","2010","4","13","03:00","26"
"Sotkamo Kuolaniemi","2010","4","14","03:00","20"
"Sotkamo Kuolaniemi","2010","4","15","03:00","17"
"Sotkamo Kuolaniemi","2010","4","16","03:00","15"
"Sotkamo Kuolaniemi","2010","4","17","03:00","12"
