"Observation station","Year","Month","Day","Time [Local time]","Cloud cover [1/8]"
"Oulu Oulunsalo Pellonpää","2021","1","29","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","1","30","00:00","Partly cloudy (4/8)"
"Oulu Oulunsalo Pellonpää","2021","1","31","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","2","1","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","2","2","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","2","3","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","2","4","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","2","5","00:00","Partly cloudy (4/8)"
"Oulu Oulunsalo Pellonpää","2021","2","6","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","2","7","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","2","8","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","2","9","00:00","Cloudiness cannot be determined (9/8)"
"Oulu Oulunsalo Pellonpää","2021","2","10","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","2","11","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","2","12","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","2","13","00:00","Partly cloudy (5/8)"
"Oulu Oulunsalo Pellonpää","2021","2","14","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","2","15","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","2","16","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","2","17","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","2","18","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","2","19","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","2","20","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","2","21","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","2","22","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","2","23","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","2","24","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","2","25","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","2","26","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","2","27","00:00","Mostly clear (3/8)"
"Oulu Oulunsalo Pellonpää","2021","2","28","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","3","1","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","3","2","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","3","3","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","3","4","00:00","Clear (1/8)"
"Oulu Oulunsalo Pellonpää","2021","3","5","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","3","6","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","3","7","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","3","8","00:00","Mostly cloudy (6/8)"
"Oulu Oulunsalo Pellonpää","2021","3","9","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","3","10","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","3","11","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","3","12","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","3","13","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","3","14","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","3","15","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","3","16","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","3","17","00:00","Mostly clear (2/8)"
"Oulu Oulunsalo Pellonpää","2021","3","18","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","3","19","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","3","20","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","3","21","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","3","22","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","3","23","00:00","Mostly cloudy (6/8)"
"Oulu Oulunsalo Pellonpää","2021","3","24","00:00","Mostly cloudy (7/8)"
